,Sku,ItemName,Category,UnitPrice,Collection,Availability,Color,Gender,Description,Composition
0,A20205716614238589,MICRO RHOMBUS STITCH CREW NECK,['Maglieria'],130.0,Fall-Winter,0,589,Men,crew neck sweater in pure merino wool with micro rhombus pattern on the front the neck the bottom and the hem are ribbed a versatile garment perfect for different combinations with both jeans and jacket for a refined and always fashionable look fashion fit,wool
16,A20201312414230005,WAVE PATTERN TURTLENECK,['Maglieria'],160.0,Fall-Winter,0,005,Men,turtleneck sweater in pure merino wool embellished with a wave pattern on the front a warm and modern garment perfect to complete any desired look with style from casual with jeans to the refined one with classiccut trousers fashion fit,wool
20,A20205711414241046,SALT AND PEPPER STITCH FULL ZIP,"['Maglieria', 'Giacche']",180.0,Fall-Winter,0,046,Men,cardigan in pure extra fine merino wool with twoway zip and contrasting profiles the salt and pepper pattern characterized by different shades of color makes it perfect for a casual and trendy style in every situation fashion fit,wool
29,A20201312022612852,AIR WOOL ARGYLE CREW NECK,['Maglieria'],145.0,Fall-Winter,0,852,Men,3ply moulinè effect air wool crew neck sweater with rhombus pattern air wool traps air bubbles between the microscopic fibres this sweater is warm and at the same time is very light so fluffy that it will seem to wear a cloud the geometric lines that run through the work give a modern allure making the shirt perfect for urban combinations with jeans or trousers for a more classic style fashion fit,wool
38,A20201314022615116,AIR WOOL ARGYLE V NECK,['Maglieria'],145.0,Fall-Winter,0,116,Men,argyle air wool vneck sweater the special feature of this garment is the yarn that traps among the fibres microscopic air bubbles this sweater is warm and at the same time is very light so fluffy that it will seem to wear a cloud a comfortable item characterized by a vintage allure perfect to be worn with a shirt and combined with a knitted jacket fashion fit,wool
138,A20205518915583039,CASHMERE V NECK WITH ALCANTARA PATCHES  ,['Cashmere'],235.0,Fall-Winter,0,039,Men,vneck in cashmere with alcantara elbow patches and contrast trim a simple garment with a precious and warm yarn the seasons musthave fashion fit,cashmere
174,A20205511515590247,PURE CASHMERE V NECK  ,"['Cashmere', 'Maglieria']",220.0,Fall-Winter,0,247,Men,v neck sweater in pure cashmere warm soft to the touch and adaptable its an evergreen of mens winter wardrobe fashion fit,cashmere
183,A20201314222616598,COLOR BLOCK TURTLENCK,['Maglieria'],119.65,Fall-Winter,0,598,Men,3ply air wool turtleneck sweater with ribbed neck cuffs and hem in contrasting colour the special feature of this garment is the yarn that traps among the fibres microscopic air bubbles this sweater is warm and at the same time is very light so fluffy that it will seem to wear a cloud a comfortable garment with a classic allure perfect on cold winter evenings worn on its own or with a outerwear fashion fit,wool
187,A20205711414241598,SALT AND PEPPER STITCH FULL ZIP,"['Maglieria', 'Giacche']",180.0,Fall-Winter,0,598,Men,cardigan in pure extra fine merino wool with twoway zip and contrasting profiles the salt and pepper pattern characterized by different shades of color makes it perfect for a casual and trendy style in every situation fashion fit,wool
212,A20205511214200099,WOOL POLO CLASSIC FIT,"['Maglieria', 'I classici', 'Polo, Camicie e T-shirt', 'Polo, Camicie e Top']",150.0,Fall-Winter,0,099,Men,long sleeve merinos extrafine polo sweater this classic garment takes inspiration from the polished poloshirts using the typical small collar perfect for the office and leisure time it completes with elegance every outfit classic fit,
